Owner_id;id;High_value;Low_value;class_Description;sensor_Description
6029;354596;23;3;OG122E ODK 1.118;ActualAirFlow OG122E
6030;354634;33;4;OG11C2 ODK 1.035;ActualAirFlow OG11C2
6031;354672;0;0;OG1249 0.122;ActualAirFlow OG1249
6963;466464;136;18;OG1226 ODK 0.087;ActualAirFlow OG1226
7061;470074;109;14;OG1254;ActualAirFlow OG1254
7185;598120;202;26;1.055 (A2.04c) ruimte;MeasAirflow 1.055 PCB ruimte
7320;482953;0;0;OG123F;ActualAirFlow OG123F
7326;483052;0;0;OG1225;ActualAirFlow OG1225
7583;506760;56;7;OG124A;ActualAirFlow OG124A
7898;526315;136;18;OG1264 1.116;ActualAirFlow OG1264
7902;526713;898;119;OG12B0 2.138;ActualAirFlow OG12B0
7904;526795;838;111;OG126C 2.138;ActualAirFlow OG126C
7926;598993;;;0.089 Praktijkruimte;MeasAirflow 0.089 Praktijkruimte
8230;608406;1297;172;1.013 [A2.04b] Praktijkruimte;MeasAirflow 1.013 [A2.04b] Praktijkruimte
8268;610715;251;33;1.051 (A2.04c) Ruimte;MeasAirflow 1.051 (A2.04c) Ruimte
