Owner_id;id;High_value;Low_value;class_Description;sensor_Description
1397;297490;79;10;2.011 (B2.07) Vergaderkamer ;MeasAirflow B2.07 Vergaderkamer 
1398;297768;53;7;2.024 (B2.08a) Werkkamer;MeasAirflow B2.08a Werkkamer
1399;297907;74;9;2.012 (B2.08b) Werkkamer;MeasAirflow B2.08b Werkkamer
1400;249359;17;2;2.016 (B2.09) Stafkamer;MeasAirflow B2.09 Stafkamer
1401;298046;38;5;2.022 (B2.10a) Stafkamer;MeasAirflow B2.10a Stafkamer
1402;254923;47;6;2.018 (B2.10b) Stafkamer;MeasAirflow B2.10b Stafkamer
1403;298185;18;2;2.014 (B2.11) Werkkamer;MeasAirflow B2.11 Werkkamer
1405;329001;;;2.108 (F01) Toilet heren 2e Verdieping Zuid-links;MeasAirflow F01 Toilet heren 2e Verdieping Zuid-links
1406;329092;;;2.102 (F02) Miva toilet 2e Verdieping;MeasAirflow F02 Miva toilet 2e Verdieping
1430;328546;;;J1.17 SER;MeasAirflow J1.17 SER
1431;590582;3088;411;K.102 (C1.06) Societeit;MeasAirflow K.102 (C1.06) Societeit
1433;590737;;;K.097 (C3.06) Kantoor;MeasAirflow K.097 (C3.06) Kantoor
1434;590865;688;91;K.093 (C4.06) Opslag / Klus;MeasAirflow K.093 (C4.06) Opslag / Klus
1435;590993;;;K.091 (C5.06) Commissie;MeasAirflow K.091 (C5.06) Commissie
1439;591124;;;K.114 (E02) Opslag Apparatuur;MeasAirflow K.114 (E02) Opslag Apparatuur
1440;591252;;;K.108 (E07) Werkplaats;MeasAirflow K.108 (E07) Werkplaats
1443;591380;;;K.103 (G01) Fietsenstalling;MeasAirflow K.103 (G01) Fietsenstalling
1449;314217;982;130;0.052 (A1.01) Studielandschap;MeasAirflow 0.052 (A1.01) Studielandschap
1450;314357;236;31;0.067 (A1.03a) Praktijkruimte;MeasAirflow 0.067 (A1.03a) Praktijkruimte
1451;314497;92;12;0.073 (A1.03b) Praktijkruimte;MeasAirflow 0.073 (A1.03b) Praktijkruimte
1452;314637;98;13;0.075 (A1.03c) Praktijkruimte;MeasAirflow 0.075 (A1.03c) Praktijkruimte
1453;591556;904;120;0.081 (A1.04c) Praktijkruimte;MeasAirflow 0.081 (A1.04c) Praktijkruimte
1454;591684;1257;167;0.015 (B3.01) Studielandschap;MeasAirflow 0.015 (B3.01) Studielandschap
1455;591837;848;113;0.014 (B3.03b B3.04) Praktijkruimte;MeasAirflow 0.014 (B3.03b B3.04) Praktijkruimte
1460;591965;2213;295;0.087 (B4.03) Praktijkruimte;MeasAirflow 0.087 (B4.03) Praktijkruimte
1461;592118;;;0.005 (B4.01) Studielandschap;MeasAirflow 0.005 (B4.01) Studielandschap
1462;592271;760;101;0.097 (B4.04) Praktijkruimte;MeasAirflow 0.097 (B4.04) Praktijkruimte
1464;355243;192;25;0.116 (C02) Informatiebalie;MeasAirflow C02 Informatiebalie
1466;382668;2252;300;0.113 (C05) Restaurant;MeasAirflow C05 Restaurant
1467;382830;676;90;0.022 (C07) Atrium;MeasAirflow C07 Mediatheek
1468;592477;40;5;0.118 (C1.10) EHBO;MeasAirflow 0.118 (C1.10) EHBO
1469;592605;56;7;0.112 (C11/12) Regio Regisseur;MeasAirflow 0.112 (C11/12) Regio Regisseur
1470;471495;126;16;0.109 (0) Keuken;MeasAirflow 0.109 (0) Keuken
1471;321365;13;1;0.114 (D07/08) Flexplek;MeasAirflow 0.114 (D07/08) Flexplek
1472;592752;40;5;0.035 (E02) Opslag Facilitair bedrijf;MeasAirflow 0.035 (E02) Opslag Facilitair bedrijf
1473;592880;;;0.101 (E03) Opslag Algemeen;MeasAirflow 0.101 (E03) Opslag Algemeen
1475;593008;118;15;0.033 (E05) Schoonmaak Kantoor;MeasAirflow 0.033 (E05) Schoonmaak Kantoor
1476;593161;124;16;0.031 (E07) Facilitair Kantoor;MeasAirflow 0.031 (E07) Facilitair Kantoor
1477;331587;;;0.042 (F01) Toilet Heren Begane Grond Noord;MeasAirflow F01 Toilet Heren Begane Grond Noord
1478;331678;;;0.032 (F01) Toilet Dames Begane Grond Noord;MeasAirflow F01 Toilet Dames Begane Grond Noord
1479;331769;;;0.108 (F01) Toilet Heren Begane Grond Zuid-links;MeasAirflow F01 Toilet Heren Begane Grond Zuid-links
1480;383082;;;0.102 (F2.02) Toilet Miva;MeasAirflow F2.02 Toilet Miva
1482;331860;;;0.104 (F01) Toilet Heren Begane Grond Zuid-rechts;MeasAirflow F01 Toilet Heren Begane Grond Zuid-rechts
1496;593358;;;0.122 (H18) Garderobe;MeasAirflow 0.122 (H18) Garderobe
1505;593486;680;90;1.082 (A1.02a) Instructieruimte;MeasAirflow 1.082 (A1.02a) Instructieruimte
1506;593614;767;102;1.081 (A1.02b) Instructieruimte;MeasAirflow 1.081 (A1.02b) Instructieruimte
1507;593742;781;104;1.075 (A1.02c) Instructieruimte;MeasAirflow 1.075 (A1.02c) Instructieruimte
1508;316078;0;0;1.088 (A1.04b) Praktijkriumte;MeasAirflow 1.088 (A1.04b) Praktijkriumte
1574;80315;269;35;OG016B ODK 1.081;Actual Air Flow OG016B
1594;81536;212;28;OG0133 ODK 1.074;Actual Air Flow OG0133
1597;81637;25;3;OG0438 ODK 1.082;Actual Air Flow OG0438
1602;593882;70;9;1.064 (A1.06a) Spreekkamer;MeasAirflow 1.064 (A1.06a) Spreekkamer
1603;594010;65;8;1.086 (A1.06b) Spreekkamer;MeasAirflow 1.086 (A1.06b) Spreekkamer
1604;594163;428;57;1.072 (A1.07) Vergaderkamer;MeasAirflow 1.072 (A1.07) Vergaderkamer
1605;316658;68;9;1.067 (A1.08a) Werkkamer;MeasAirflow 1.067 (A1.08a) Werkkamer
1606;316798;108;14;1.069 (A1.08b) Werkkamer;MeasAirflow 1.069 (A1.08b) Werkkamer
1607;316938;113;15;1.071 (A1.08c) Werkkamer;MeasAirflow 1.071 (A1.08c) Werkkamer
1609;317218;213;28;1.074 (A1.10a) Stafkamer;MeasAirflow 1.074 (A1.10a) Stafkamer
1611;594376;817;109;1.044 (A2.01) Studielandschap;MeasAirflow 1.044 (A2.01) Studielandschap
1612;594529;775;103;1.132 (A2.03a) Praktijkruimte;MeasAirflow 1.132 (A2.03a) Praktijkruimte
1613;594682;849;113;1.122 (A2.03b) Praktijkruimte;MeasAirflow 1.122 (A2.03b) Praktijkruimte
1614;594835;1084;144;1.052 (A2.03c) Praktijkruimte;MeasAirflow 1.052 (A2.03c) Praktijkruimte
1616;594988;1241;165;1.015 (A2.04a) Praktijkruimte;MeasAirflow 1.015 (A2.04a/b) Praktijkruimte
1618;595294;479;63;1.053 (A2.04c) Praktijkruimte;MeasAirflow 1.053 (A2.04c) Praktijkruimte
1620;595550;365;48;1.043 (A2.07) Vergaderkamer;MeasAirflow 1.043 (A2.07) Vergaderkamer
1621;319265;37;5;1.049 (A2.08a) Werkkamer;MeasAirflow 1.049 (A2.08a) Werkkamer
1622;319405;19;2;1.112 (A2.09) Vergaderkamer;MeasAirflow 1.112 (A2.09) Vergaderkamer
1624;319545;74;9;1.047 (A2.10a/b) Stafkamer;MeasAirflow 1.047 (A2.10a/b) Stafkamer
1625;595739;677;90;1.021 (B3.02) Instructieruimte;MeasAirflow 1.021 (B3.02) Instructieruimte
